Code No,Item,Unit,Quantity,Min,Max,Date
1001,Onion,Quintal,10108,600.0,1400.0,2025-04-14
1002,Potato,Quintal,8943,1000.0,2000.0,2025-04-14
1003,Garlic,Quintal,1675,3500.0,10000.0,2025-04-14
1004,Ginger,Quintal,452,1000.0,2600.0,2025-04-14
2001,Ladyfinger,Quintal,646,1400.0,5000.0,2025-04-14
2002,Cluster Beans,Quintal,273,3000.0,7000.0,2025-04-14
2003,Tomato,Quintal,2426,500.0,1200.0,2025-04-14
2004,Peas,Quintal,404,4000.0,7000.0,2025-04-14
2005,Ridge Gourd,Quintal,273,3000.0,6000.0,2025-04-14
2006,Tinda,Quintal,225,2000.0,4000.0,2025-04-14
2007,Green Chilli,Quintal,1147,2000.0,4000.0,2025-04-14
2008,Bottle Gourd,Quintal,596,1000.0,2000.0,2025-04-14
2010,Cucumber,Quintal,1468,1000.0,2000.0,2025-04-14
2011,Bitter Gourd,Quintal,148,2000.0,3000.0,2025-04-14
2012,Yam,Quintal,360,800.0,1500.0,2025-04-14
2013,Carrot,Quintal,973,1000.0,2000.0,2025-04-14
2014,Snake Gourd,Quintal,6,2500.0,4500.0,2025-04-14
2015,Pointed Gourd,Quintal,29,2000.0,2500.0,2025-04-14
2016,Cauliflower,Quintal,699,800.0,2000.0,2025-04-14
2017,Cabbage,Quintal,705,300.0,1000.0,2025-04-14
2018,Brinjal,Quintal,391,1400.0,4000.0,2025-04-14
2019,Pumpkin,Quintal,394,1500.0,4000.0,2025-04-14
2020,Elephant Foot Yam,Quintal,13,1500.0,4000.0,2025-04-14
2021,Ivy Gourd,Quintal,108,2500.0,4000.0,2025-04-14
2022,Beetroot,Quintal,165,800.0,1500.0,2025-04-14
2023,Ash Gourd,Quintal,196,1000.0,2000.0,2025-04-14
2024,Parwal,Quintal,5,3500.0,6000.0,2025-04-14
2026,Hyacinth Beans,Quintal,23,2500.0,5000.0,2025-04-14
2027,Drumstick,Quintal,382,1000.0,3000.0,2025-04-14
2028,Raw Mango,Quintal,514,1500.0,4000.0,2025-04-14
2029,Chow Chow,Quintal,14,1000.0,4000.0,2025-04-14
2030,Kohlrabi,Quintal,5,2000.0,4000.0,2025-04-14
2032,Amaranth Leaves,Quintal,59,2000.0,3000.0,2025-04-14
2033,Taro,Quintal,129,2000.0,2800.0,2025-04-14
2035,Pointed Gourd,Quintal,66,4000.0,6000.0,2025-04-14
2036,Zucchini,Quintal,69,2000.0,3000.0,2025-04-14
2037,Curry Leaves,Quintal,54,3000.0,6000.0,2025-04-14
2040,Colocasia,Quintal,81,1600.0,3000.0,2025-04-14
3023,Red and Yellow Pumpkin,Quintal,21,4000.0,5000.0,2025-04-14
3024,Basil,Quintal,2,2000.0,3000.0,2025-04-14
3025,Broccoli,Quintal,29,3500.0,5000.0,2025-04-14
3026,Bok Choy,Quintal,1,2000.0,2500.0,2025-04-14
